[  107752ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  107841ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  107902ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  107981ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  108054ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  108125ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  108213ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  108293ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  108380ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  108932ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  108969ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  109082ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  109246ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  109324ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  109469ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  110487ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://hairclinicwolf.be/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
